"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,40658415,1,41013881
2020,40652326,1,41013882
2020,40658456,1,41013924
2020,40658476,1,41013941
2020,40658484,8,41013948
2020,40652424,1,41021865
2020,40658506,1,41013968
2020,40658536,1,41013998
2020,40658556,1,41014015
2020,40658571,1,41021944
2020,40658608,1,41014064
2020,40652550,1,41014073
2020,40658622,1,41021997
2020,40652563,1,41022008
2020,40652577,1,41022021
2020,40652597,1,41022041
2020,40076253,1,40420608
2020,40076260,1,40420615
2020,40076265,1,40420620
2020,40073569,1,40419056
2020,40073598,1,40419084
2020,40658662,1,41014120
2020,40658689,1,41014142
2020,40658692,1,41022085
2020,40697562,1,41062049
2020,40697563,1,41062050
2020,40652135,1,41013712
2020,40652143,1,41013724
2020,40652168,1,41013748
2020,40658311,1,41013777
2020,40658317,1,41021637
2020,40652217,1,41013795
2020,40658350,1,41013811
2020,40658355,1,41013816
2020,40652267,1,41021710
2020,40658380,1,41013838
2020,40652282,1,41013846
2020,40658401,1,41013862
2020,40658402,1,41013864
2020,40652319,1,41021755
2020,40658448,1,41013914
2020,40652384,1,41021816
2020,40652390,1,41021823
2020,40658507,1,41013970
2020,40652443,1,41021883
2020,40658520,1,41013983
