"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39680738,128338102,1,26-AUG-20,3,"N",51,5,25,"M",2,3,"R","","",25,0
2020,39678481,128338335,1,02-AUG-20,3,"N",16,5,37,"F",1,1,"R","","",37,0
2020,39389898,127366223,1,10-JAN-20,1,"C",51,5,23,"F",1,2,"R","","",23,0
2020,39385518,127366225,1,11-JAN-20,1,"C",23,5,29,"M",1,2,"R","","",29,0
2020,39385519,127366248,1,15-JAN-20,1,"C",21,5,48,"F",1,2,"R","","",48,0
2020,41732707,135054906,1,07-OCT-20,1,"N",23,5,25,"M",1,1,"N","","",25,0
2020,38983696,126212454,1,15-JUN-20,1,"N",49,5,24,"M",1,1,"","","",24,0
2020,39680712,128337992,1,10-AUG-20,3,"N",51,5,24,"M",2,2,"R","","",24,0
2020,39680842,128338733,1,03-MAY-20,2,"M",51,5,30,"F",1,1,"N","","",30,0
2020,39733366,128549375,1,02-AUG-20,1,"N",34,5,63,"M",3,2,"R","","",63,0
2020,39733372,128549388,1,03-AUG-20,3,"N",23,5,33,"M",3,2,"N","","",33,0
2020,39733417,128553705,1,22-AUG-20,1,"N",21,5,28,"M",1,2,"R","","",28,0
2020,39729274,128549524,1,25-AUG-20,1,"N",23,5,18,"F",1,2,"N","","",18,0
2020,39733432,128553744,1,29-AUG-20,3,"N",29,5,24,"M",1,2,"R","","",24,0
2020,40700779,131608003,1,07-NOV-20,1,"C",5,5,29,"M",1,1,"R","","",29,0
2020,40697561,131612613,1,07-NOV-20,1,"C",14,5,39,"M",1,1,"R","","",39,0
2020,40700785,131608026,1,19-NOV-20,1,"C",51,5,24,"M",1,1,"R","","",24,0
2020,40700791,131608042,1,23-NOV-20,1,"C",51,5,18,"M",1,1,"R","","",18,0
2020,38908496,125873437,1,11-JUN-20,2,"N",51,5,22,"M",3,2,"R","","",22,0
2020,39733379,128549412,1,06-AUG-20,1,"N",49,5,19,"M",2,2,"U","","",19,0
